label	description	TargetFullName	Target	UniProt	EntrezGeneID	EntrezGeneSymbol	Organism
x0so0827	seq.12450.42	Phosphomevalonate kinase	PMVK	Q15126	10654	PMVK	Human
x0so0828	seq.12451.62	Transcription regulator protein BACH1	BACH1	O14867	571	BACH1	Human
x0so0829	seq.12452.32	Histone-lysine N-methyltransferase SUV420H2	SV422	Q86Y97	84787	KMT5C	Human
x0so0830	seq.12453.161	Nuclear RNA export factor 1	NXF1	Q9UBU9	10482	NXF1	Human
x0so0831	seq.12454.105	N-terminal Xaa-Pro-Lys N-methyltransferase 1	NTM1A	Q9BV86	28989	NTMT1	Human
x0so0832	seq.12455.48	Myoneurin	MYNN	Q9NPC7	55892	MYNN	Human
x0so0833	seq.12456.5	6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 3	F263	Q16875	5209	PFKFB3	Human
x0so0834	seq.12457.10	1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase	MTND	Q9BV57	55256	ADI1	Human
x0so0835	seq.12458.79	Calcineurin B homologous protein 1	CHP1	Q99653	11261	CHP1	Human
x0so0836	seq.12459.13	Pleckstrin homology domain-containing family A member 1	PKHA1	Q9HB21	59338	PLEKHA1	Human
x0so0837	seq.12460.18	Proteasome subunit alpha type-7	PSA7	O14818	5688	PSMA7	Human
x0so0838	seq.12461.8	NAD-dependent protein deacylase sirtuin-5, mitochondrial	SIRT5	Q9NXA8	23408	SIRT5	Human
x0so0839	seq.12462.20	Histone-lysine N-methyltransferase SETMAR	SETMR	Q53H47	6419	SETMAR	Human
x0so0840	seq.12463.7	Kelch-like protein 13	KLH13	Q9P2N7	90293	KLHL13	Human
x0so0841	seq.12466.7	Heterogeneous nuclear ribonucleoprotein A1	ROA1	P09651	3178	HNRNPA1	Human
x0so0842	seq.12469.19	Microtubule-associated protein RP/EB family member 1	MARE1	Q15691	22919	MAPRE1	Human
x0so0843	seq.12471.47	Double-stranded RNA-binding protein Staufen homolog 1	STAU1	O95793	6780	STAU1	Human
x0so0844	seq.12473.48	BTB/POZ domain-containing protein KCTD5	KCTD5	Q9NXV2	54442	KCTD5	Human
x0so0845	seq.12475.48	Chloride intracellular channel protein 5	CLIC5	Q9NZA1	53405	CLIC5	Human
x0so0846	seq.12476.50	Fructose-2,6-bisphosphatase TIGAR	TIGAR	Q9NQ88	57103	TIGAR	Human
x0so0847	seq.12477.42	Translin	TSN	Q15631	7247	TSN	Human
x0so0848	seq.12478.15	60S ribosomal protein L30	RL30	P62888	6156	RPL30	Human
x0so0849	seq.12479.50	cAMP-dependent protein kinase type I-beta regulatory subunit	KAP1	P31321	5575	PRKAR1B	Human
x0so0850	seq.12480.9	OTU domain-containing protein 5	OTUD5	Q96G74	55593	OTUD5	Human
x0so0851	seq.12482.5	Nucleosome-remodeling factor subunit BPTF	BPTF	Q12830	2186	BPTF	Human
x0so0852	seq.12483.62	Nuclear receptor ROR-beta	RORB	Q92753	6096	RORB	Human
x0so0853	seq.12484.67	Phosphatidylinositol transfer protein beta isoform	PIPNB	P48739	23760	PITPNB	Human
x0so0854	seq.12486.8	Glutaredoxin-2, mitochondrial	GLRX2	Q9NS18	51022	GLRX2	Human
x0so0855	seq.12488.9	Malignant T-cell-amplified sequence 1	MCTS1	Q9ULC4	28985	MCTS1	Human
x0so0856	seq.12490.92	Ragulator complex protein LAMTOR3	LTOR3	Q9UHA4	8649	LAMTOR3	Human
x0so0857	seq.12491.23	Chloride intracellular channel protein 4	CLIC4	Q9Y696	25932	CLIC4	Human
x0so0858	seq.12493.42	Ubiquitin thioesterase OTUB2	OTUB2	Q96DC9	78990	OTUB2	Human
x0so0859	seq.12494.99	Gamma-aminobutyric acid receptor-associated protein-like 2	GBRL2	P60520	11345	GABARAPL2	Human
x0so0860	seq.12497.29	Tudor-interacting repair regulator protein	SDOS	Q9BRJ7	84309	NUDT16L1	Human
x0so0861	seq.12498.12	Tax1-binding protein 3	TX1B3	O14907	30851	TAX1BP3	Human
x0so0862	seq.12499.108	Endophilin-A1	SH3G2	Q99962	6456	SH3GL2	Human
x0so0863	seq.12500.88	SUMO-activating enzyme subunit 2	SAE2	Q9UBT2	10054	UBA2	Human
x0so0864	seq.12501.10	Tubulin-specific chaperone A	TBCA	O75347	6902	TBCA	Human
x0so0865	seq.12503.5	Ovarian cancer G-protein coupled receptor 1	SPR1	Q15743	8111	GPR68	Human
x0so0866	seq.12504.26	Leiomodin-1	LMOD1	P29536	25802	LMOD1	Human
x0so0867	seq.12507.16	Inositol-trisphosphate 3-kinase C	IP3KC	Q96DU7	80271	ITPKC	Human
x0so0868	seq.12508.9	Charged multivesicular body protein 3	CHMP3	Q9Y3E7	100526767	CHMP3	Human
x0so0869	seq.12509.115	COMM domain-containing protein 1	COMD1	Q8N668	150684	COMMD1	Human
x0so0870	seq.12510.3	Signal-transducing adaptor protein 1	STAP1	Q9ULZ2	26228	STAP1	Human
x0so0871	seq.12511.83	Solute carrier family 41 member 2	S41A2	Q96JW4	84102	SLC41A2	Human
x0so0872	seq.12513.8	Glycolipid transfer protein	GLTP	Q9NZD2	51228	GLTP	Human
x0so0873	seq.12514.16	tRNA (guanine-N(7)-)-methyltransferase	METTL1	Q9UBP6	4234	METTL1	Human
x0so0874	seq.12515.45	Uridine-cytidine kinase 2	UCK2	Q9BZX2	7371	UCK2	Human
x0so0875	seq.12516.13	Transcriptional enhancer factor TEF-3	TEAD4	Q15561	7004	TEAD4	Human
x0so0876	seq.12517.52	Programmed cell death protein 5	TFAR19	O14737	9141	PDCD5	Human
x0so0877	seq.12518.289	Protein polybromo-1	PB1	Q86U86	55193	PBRM1	Human
x0so0878	seq.12521.3	Cyclin-dependent kinase 4 inhibitor C	CDN2C	P42773	1031	CDKN2C	Human
x0so0879	seq.12522.6	UV excision repair protein RAD23 homolog B	RD23B	P54727	5887	RAD23B	Human
x0so0880	seq.12524.18	Diamine acetyltransferase 2	SAT2	Q96F10	112483	SAT2	Human
x0so0881	seq.12527.50	Thyroid hormone receptor alpha	THA	P10827	7067	THRA	Human
x0so0882	seq.12528.40	ATPase WRNIP1	WRIP1	Q96S55	56897	WRNIP1	Human
x0so0883	seq.12529.32	Inactive peptidyl-prolyl cis-trans isomerase FKBP6	FKBP6	O75344	8468	FKBP6	Human
x0so0884	seq.12530.14	Cyclin-dependent kinases regulatory subunit 1	CKS-1	P61024	1163	CKS1B	Human
x0so0885	seq.12531.5	Endogenous retrovirus group V member 1 Env polyprotein	ERVV1	B6SEH8		ERVV-1	Human
x0so0886	seq.12532.28	Ubiquitin-conjugating enzyme E2 R1	UB2R1	P49427	997	CDC34	Human
x0so0887	seq.12533.135	Cytohesin-2	CYH2	Q99418	9266	CYTH2	Human
x0so0888	seq.12534.10	Calcium-binding and coiled-coil domain-containing protein 2	CACO2	Q13137	10241	CALCOCO2	Human
x0so0889	seq.12535.2	DNA repair protein XRCC1	XRCC1	P18887	7515	XRCC1	Human
x0so0890	seq.12536.46	Myotubularin-related protein 6	MTMR6	Q9Y217	9107	MTMR6	Human
x0so0891	seq.12537.88	Transcriptional activator protein Pur-alpha	PURA	Q00577	5813	PURA	Human
x0so0892	seq.12538.19	Regulator of G-protein signaling 7	RGS7	P49802	6000	RGS7	Human
x0so0893	seq.12540.25	Rho-related GTP-binding protein RhoG	RHOG	P84095	391	RHOG	Human
x0so0894	seq.12543.76	Zinc finger protein 560	ZN560	Q96MR9	147741	ZNF560	Human
x0so0895	seq.12546.1	Smoothelin	SMTN	P53814	6525	SMTN	Human
x0so0896	seq.12548.75	Ras-related GTP-binding protein C	RRAGC	Q9HB90	64121	RRAGC	Human
x0so0897	seq.12549.33	Hematopoietic prostaglandin D synthase	PTGD2	O60760	27306	HPGDS	Human
x0so0898	seq.12551.3	E3 ubiquitin-protein ligase Itchy homolog	ITCH	Q96J02	83737	ITCH	Human
x0so0899	seq.12553.5	Serine/threonine-protein kinase VRK1	VRK1	Q99986	7443	VRK1	Human
x0so0900	seq.12554.10	DNA repair protein RAD51 homolog 4	RA51D	O75771	5892	RAD51D	Human
x0so0901	seq.12556.7	Ubiquitin-conjugating enzyme E2 C	UBE2C	O00762	11065	UBE2C	Human
x0so0902	seq.12557.18	RNA-binding protein Nova-1	NOVA1	P51513	4857	NOVA1	Human
x0so0903	seq.12558.3	Ubiquitin-associated and SH3 domain-containing protein B	UBS3B	Q8TF42	84959	UBASH3B	Human
x0so0904	seq.12560.9	5'(3')-deoxyribonucleotidase, cytosolic type	NT5C	Q8TCD5	30833	NT5C	Human
x0so0905	seq.12562.1	Serine/threonine-protein kinase N1	PKN1	Q16512	5585	PKN1	Human
x0so0906	seq.12563.2	Tumor necrosis factor alpha-induced protein 8	TFIP8	O95379	25816	TNFAIP8	Human
x0so0907	seq.12564.9	60S ribosome subunit biogenesis protein NIP7 homolog	NIP7	Q9Y221	51388	NIP7	Human
x0so0908	seq.12568.14	Kelch-like ECH-associated protein 1	KEAP1	Q14145	9817	KEAP1	Human
x0so0909	seq.12569.25	T-complex protein 1 subunit epsilon	TCP-1-epsilon	P48643	22948	CCT5	Human
x0so0910	seq.12571.14	ADP-ribosylation factor-like protein 3	ARL3	P36405	403	ARL3	Human
x0so0911	seq.12572.236	Embryonal Fyn-associated substrate	EFS	O43281	10278	EFS	Human
x0so0912	seq.12573.80	Tripartite motif-containing protein 3	TRIM3	O75382	10612	TRIM3	Human
x0so0913	seq.12574.36	Endothelin-2	Endothelin 2	P20800	1907	EDN2	Human
x0so0914	seq.12575.30	C-1-tetrahydrofolate synthase, cytoplasmic	C1TC	P11586	4522	MTHFD1	Human
x0so0915	seq.12576.21	Melanoma-associated antigen 3	MAGE-3	P43357	4102	MAGEA3	Human
x0so0916	seq.12577.100	Flap endonuclease 1	FLAP endonuclease-1	P39748	2237	FEN1	Human
x0so0917	seq.12578.13	ADP-ribosylation factor 3	ARF3	P61204	377	ARF3	Human
x0so0918	seq.12580.7	Proteasome subunit beta type-5	PSB5	P28074	5693	PSMB5	Human
x0so0919	seq.12581.39	Inositol monophosphatase 2	IMPA2	O14732	3613	IMPA2	Human
x0so0920	seq.12583.77	Serine/threonine-protein kinase A-Raf	ARAF	P10398	369	ARAF	Human
x0so0921	seq.12585.39	DNA excision repair protein ERCC-1	ERCC1	P07992	2067	ERCC1	Human
x0so0922	seq.12587.65	ADP-ribosylation factor-like protein 2	ARL2	P36404	402	ARL2	Human
x0so0924	seq.12591.27	Oligophrenin-1	Oligophrenin-1	O60890	4983	OPHN1	Human
x0so0925	seq.12593.33	p53 and DNA damage-regulated protein 1	PDRG1	Q9NUG6	81572	PDRG1	Human
x0so0926	seq.12594.5	Grancalcin	GRAN	P28676	25801	GCA	Human
x0so0927	seq.12595.11	Tropomodulin-1	TMOD1	P28289	7111	TMOD1	Human
x0so0928	seq.12597.68	Autophagy protein 5	Autophagy protein 5	Q9H1Y0	9474	ATG5	Human
x0so0929	seq.12599.10	Fermitin family homolog 3	URP2	Q86UX7	83706	FERMT3	Human
x0so0930	seq.12603.87	Polyadenylate-binding protein 4	PABP4	Q13310	8761	PABPC4	Human
x0so0931	seq.12604.16	Polycomb protein SCMH1	SCMH1	Q96GD3	22955	SCMH1	Human
x0so0932	seq.12605.1	Exosome complex component RRP40	Exosome component 3	Q9NQT5	51010	EXOSC3	Human
x0so0933	seq.12612.37	Proteasome subunit beta type-1	PSB1	P20618	5689	PSMB1	Human
x0so0934	seq.12616.45	Nuclear receptor-binding protein	NRBP	Q9UHY1	29959	NRBP1	Human
x0so0935	seq.12617.2	Serine/threonine-protein kinase 24	STK24	Q9Y6E0	8428	STK24	Human
x0so0936	seq.12618.50	Aldo-keto reductase family 1 member C1	Aldo-keto reductase 1C1	Q04828	1645	AKR1C1	Human
x0so0937	seq.12619.14	Protein phosphatase 1A	Protein phophatase 2Ca	P35813	5494	PPM1A	Human
x0so0938	seq.12620.3	Septin-11	Septin-11	Q9NVA2	55752	SEPTIN11	Human
x0so0939	seq.12621.55	Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform	PP2AAA	P30153	5518	PPP2R1A	Human
x0so0940	seq.12622.96	Histone-lysine N-methyltransferase ASH1L	ASH1L	Q9NR48	55870	ASH1L	Human
x0so0941	seq.12623.84	Protein Jumonji	JARD2	Q92833	3720	JARID2	Human
x0so0942	seq.12625.138	Kelch-like protein 7	KLHL7	Q8IXQ5	55975	KLHL7	Human
x0so0943	seq.12626.6	Sentrin-specific protease 7	SENP7	Q9BQF6	57337	SENP7	Human
x0so0944	seq.12627.97	Ubiquitin-like modifier-activating enzyme ATG7	ATG7	O95352	10533	ATG7	Human
x0so0945	seq.12628.31	LanC-like protein 2	LANC2	Q9NS86	55915	LANCL2	Human
x0so0946	seq.12630.8	Arfaptin-2	ARFP2	P53365	23647	ARFIP2	Human
x0so0947	seq.12632.14	Arylamine N-acetyltransferase 1	ARY1	P18440	9	NAT1	Human
x0so0948	seq.12633.3	Tyrosine-protein phosphatase non-receptor type 9	PTN9	P43378	5780	PTPN9	Human
x0so0949	seq.12634.79	Breast cancer anti-estrogen resistance protein 3:Guanine Nucleotide Exchange Factor Domain	BCAR3:Ras-GEF	O75815	8412	BCAR3	Human
x0so0950	seq.12635.9	tRNA (cytosine(38)-C(5))-methyltransferase	TRDMT	O14717	1787	TRDMT1	Human
x0so0951	seq.12636.113	N-lysine methyltransferase SMYD2	SMYD2	Q9NRG4	56950	SMYD2	Human
x0so0952	seq.12637.7	Carnitine O-acetyltransferase	CACP	P43155	1384	CRAT	Human
x0so0953	seq.12641.3	Type II inositol 1,4,5-trisphosphate 5-phosphatase	I5P2	P32019	3633	INPP5B	Human
x0so0954	seq.12643.4	Beta-arrestin-1	ARRB1	P49407	408	ARRB1	Human
x0so0955	seq.12644.63	Adenylosuccinate synthetase isozyme 2	PURA2	P30520	159	ADSS2	Human
x0so0956	seq.12646.2	Ribulose-phosphate 3-epimerase	RPE	Q96AT9	6120	RPE	Human
x0so0957	seq.12647.52	Histone-lysine N-methyltransferase SETD2	SETD2	Q9BYW2	29072	SETD2	Human
x0so0958	seq.12649.80	Malate dehydrogenase, mitochondrial	Malate dehydrogenase 2	P40926	4191	MDH2	Human
x0so0959	seq.12650.43	Guanine nucleotide-binding protein G(k) subunit alpha	GNAI3	P08754	2773	GNAI3	Human
x0so0960	seq.12651.21	[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 2, mitochondrial	PDK2	Q15119	5164	PDK2	Human
x0so0961	seq.12652.37	Adenosylhomocysteinase 2	SAHH2	O43865	10768	AHCYL1	Human
x0so0962	seq.12653.13	Casein kinase I isoform gamma-2	CSNK1G2	P78368	1455	CSNK1G2	Human
x0so0963	seq.12655.30	Beta-soluble NSF attachment protein	SNAB	Q9H115	63908	NAPB	Human
x0so0964	seq.12656.1	Kinesin light chain 1	KLC1	Q07866	3831	KLC1	Human
x0so0965	seq.12657.2	GDP-L-fucose synthase	FCL	Q13630	7264	TSTA3	Human
x0so0966	seq.12658.72	Pantothenate kinase 3	PANK3	Q9H999	79646	PANK3	Human
x0so0967	seq.12659.13	Obg-like ATPase 1	GTPB9	Q9NTK5	29789	OLA1	Human
x0so0968	seq.12661.44	Gamma-aminobutyric acid receptor-associated protein-like 1	GBRL1	Q9H0R8	23710	GABARAPL1	Human
x0so0969	seq.12662.82	Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial	ECH1	Q13011	1891	ECH1	Human
x0so0970	seq.12663.1	Thiosulfate sulfurtransferase	THTR	Q16762	7263	TST	Human
x0so0971	seq.12664.19	Tyrosine-protein phosphatase non-receptor type 13	PTN13	Q12923	5783	PTPN13	Human
x0so0972	seq.12665.16	Interleukin enhancer-binding factor 2	ILF2	Q12905	3608	ILF2	Human
x0so0973	seq.12667.2	Guanine deaminase	GUAD	Q9Y2T3	9615	GDA	Human
x0so0974	seq.12668.7	Vacuolar protein sorting-associated protein 4B	VPS4B	O75351	9525	VPS4B	Human
x0so0975	seq.12669.30	E3 ubiquitin-protein ligase HECW1	HECW1	Q76N89	23072	HECW1	Human
x0so0976	seq.12670.15	Cell cycle checkpoint protein RAD1	RAD1	O60671	5810	RAD1	Human
x0so0977	seq.12671.35	Sulfotransferase family cytosolic 1B member 1	ST1B1	O43704	27284	SULT1B1	Human
x0so0978	seq.12675.14	Aspartate--tRNA ligase, cytoplasmic	SYDC	P14868	1615	DARS1	Human
x0so0979	seq.12676.1	Protein kinase C and casein kinase substrate in neurons protein 1	PACN1	Q9BY11	29993	PACSIN1	Human
x0so0980	seq.12677.164	Protein flightless-1 homolog	FLII	Q13045	2314	FLII	Human
x0so0981	seq.12678.66	U1 small nuclear ribonucleoprotein A	SNRPA	P09012	6626	SNRPA	Human
x0so0982	seq.12681.63	Ubiquitin carboxyl-terminal hydrolase 21	UBP21	Q9UK80	27005	USP21	Human
x0so0983	seq.12682.5	Kynurenine--oxoglutarate transaminase 3	KAT3	Q6YP21	56267	KYAT3	Human
x0so0984	seq.12683.156	Dihydropyrimidinase-related protein 5	DPYL5	Q9BPU6	56896	DPYSL5	Human
x0so0985	seq.12684.5	Adseverin	ADSV	Q9Y6U3	85477	SCIN	Human
x0so0986	seq.12685.57	Homer protein homolog 2	HOME2	Q9NSB8	9455	HOMER2	Human
x0so0987	seq.12686.15	3-mercaptopyruvate sulfurtransferase	THTM	P25325	4357	MPST	Human
x0so0988	seq.12687.2	2,4-dienoyl-CoA reductase, mitochondrial	DECR	Q16698	1666	DECR1	Human
x0so0989	seq.12688.115	Ribosomal protein S6 kinase alpha-6	KS6A6	Q9UK32	27330	RPS6KA6	Human
x0so0990	seq.12689.56	Actin-related protein 2/3 complex subunit 1B	ARC1B	O15143	10095	ARPC1B	Human
x0so0991	seq.12690.33	Septin-10	SEP10	Q9P0V9	151011	SEPTIN10	Human
x0so0992	seq.12691.44	Serine hydroxymethyltransferase, mitochondrial	GLYM	P34897	6472	SHMT2	Human
x0so0993	seq.12692.56	Histone-lysine N-methyltransferase, H3 lysine-79 specific	DOT1L	Q8TEK3	84444	DOT1L	Human
x0so0994	seq.12693.2	SH3 domain-binding glutamic acid-rich-like protein	SH3L1	O75368	6451	SH3BGRL	Human
x0so0995	seq.12694.28	Probable dimethyladenosine transferase	DIM1	Q9UNQ2	27292	DIMT1	Human
x0so0996	seq.12695.62	Kelch-like protein 12	KLH12	Q53G59	59349	KLHL12	Human
x0so0997	seq.12696.166	Protein arginine N-methyltransferase 3	ANM3	O60678	10196	PRMT3	Human
x0so0998	seq.12697.30	Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha	PI42A	P48426	5305	PIP4K2A	Human
x0so0999	seq.12698.72	Importin subunit alpha-3	IMA4	O00629	3840	KPNA4	Human
x0so1000	seq.12699.28	T-complex protein 1 subunit theta	TCP-1-theta	P50990	10694	CCT8	Human
x0so1001	seq.12700.9	ATP-citrate synthase	ACLY	P53396	47	ACLY	Human
x0so1002	seq.12701.1	Eukaryotic translation initiation factor 1b	EIF1B	O60739	10289	EIF1B	Human
x0so1003	seq.12702.13	E3 ubiquitin-protein ligase pellino homolog 2	PELI2	Q9HAT8	57161	PELI2	Human
x0so1004	seq.12703.6	Serine/threonine-protein kinase Nek7	NEK7	Q8TDX7	140609	NEK7	Human
x0so1005	seq.12704.26	SH2 domain-containing protein 3C	SH2D3	Q8N5H7	10044	SH2D3C	Human
x0so1006	seq.12705.9	Probable E3 ubiquitin-protein ligase HERC1	HERC1	Q15751	8925	HERC1	Human
x0so1007	seq.12706.2	Serine/threonine-protein kinase MRCK alpha	MRCKA	Q5VT25	8476	CDC42BPA	Human
x0so1008	seq.12707.26	Dihydropyrimidinase-related protein 3	DPYL3	Q14195	1809	DPYSL3	Human
x0so1009	seq.12708.91	Lethal(3)malignant brain tumor-like protein 2	LMBL2	Q969R5	83746	L3MBTL2	Human
x0so1010	seq.12709.63	Histone H1x	H1X	Q92522	8971	H1-10	Human
x0so1011	seq.12711.19	Gap junction alpha-8 protein	CXA8	P48165	2703	GJA8	Human
x0so1012	seq.12712.9	High mobility group protein 20A	HM20A	Q9NP66	10363	HMG20A	Human
x0so1013	seq.12713.365	Regulator of G-protein signaling 19	RGS19	P49795	10287	RGS19	Human
x0so1014	seq.12714.38	AP-1 complex subunit gamma-like 2	AP1G2	O75843	8906	AP1G2	Human
x0so1015	seq.12715.30	mRNA-decapping enzyme 1B	DCP1B	Q8IZD4	196513	DCP1B	Human
x0so1016	seq.12716.3	Zinc finger protein 175	ZN175	Q9Y473	7728	ZNF175	Human
x0so1017	seq.12717.65	TOX high mobility group box family member 3	TOX3	O15405	27324	TOX3	Human
x0so1018	seq.12718.43	Peptidyl-prolyl cis-trans isomerase NIMA-interacting 4	PIN4	Q9Y237	5303	PIN4	Human
x0so1019	seq.12720.71	Ubiquilin-4	UBQL4	Q9NRR5	56893	UBQLN4	Human
x0so1020	seq.12721.4	Tax1-binding protein 1	TAXB1	Q86VP1	8887	TAX1BP1	Human
x0so1021	seq.12724.81	Cold-inducible RNA-binding protein	CIRBP	Q14011	1153	CIRBP	Human
x0so1022	seq.12726.3	Regulatory factor X-associated protein	RFXAP	O00287	5994	RFXAP	Human
x0so1023	seq.12727.7	Prostaglandin F2 receptor negative regulator	FPRP	Q9P2B2	5738	PTGFRN	Human
x0so1024	seq.12729.12	Proteasome assembly chaperone 3	PSMG3	Q9BT73	84262	PSMG3	Human
x0so1025	seq.12730.3	Kinetochore protein NDC80 homolog	KNTC2	O14777	10403	NDC80	Human
x0so1026	seq.12731.12	Pleckstrin homology domain-containing family A member 7	PKHA7	Q6IQ23	144100	PLEKHA7	Human
x0so1027	seq.12732.13	MAGUK p55 subfamily member 7	MPP7	Q5T2T1	143098	MPP7	Human
x0so1028	seq.12734.112	Kinesin-like protein KIF22	KIF22	Q14807	3835	KIF22	Human
x0so1029	seq.12735.39	Cold shock domain-containing protein E1	CSDE1	O75534	7812	CSDE1	Human
x0so1030	seq.12737.12	Plastin-1	PLSI	Q14651	5357	PLS1	Human
x0so1031	seq.12738.43	Nischarin	NISCH	Q9Y2I1	11188	NISCH	Human
x0so1032	seq.12740.55	Protein FEV	FEV	Q99581	54738	FEV	Human
x0so1033	seq.12742.160	Transmembrane protein 8B	TMM8B	A6NDV4	51754	TMEM8B	Human
x0so1034	seq.12743.18	BAG family molecular chaperone regulator 5	BAG5	Q9UL15	9529	BAG5	Human
x0so1035	seq.12746.4	Cytohesin-4	CYH4	Q9UIA0	27128	CYTH4	Human
x0so1036	seq.12747.89	RNA-binding protein 3	RBM3	P98179	5935	RBM3	Human
x0so1037	seq.12748.6	Bromodomain testis-specific protein	BRDT	Q58F21	676	BRDT	Human
x0so1038	seq.12750.9	Integrin beta-2	LFA-1 beta-2	P05107	3689	ITGB2	Human
x0so1039	seq.12751.26	Zinc fingers and homeoboxes protein 1	ZHX1	Q9UKY1	11244	ZHX1	Human
x0so1040	seq.12753.6	Amyloid beta A4 precursor protein-binding family B member 2:Phosphotyrosine Interaction Domain 1	APBB2:PID 1	Q92870	323	APBB2	Human
x0so1041	seq.12754.14	Cold shock domain-containing protein C2	CSDC2	Q9Y534	27254	CSDC2	Human
x0so1042	seq.12756.3	Transcription regulator protein BACH2	BACH2	Q9BYV9	60468	BACH2	Human
x0so1043	seq.12758.47	Glutamate receptor ionotropic, delta-2	GRID2	O43424	2895	GRID2	Human
x0so1044	seq.12759.47	Interleukin enhancer-binding factor 3	DRBP76	Q12906	3609	ILF3	Human
x0so1045	seq.12760.34	Zinc finger protein 774	ZN774	Q6NX45	342132	ZNF774	Human
x0so1046	seq.12761.12	Amyloid beta A4 precursor protein-binding family B member 2:Phosphotyrosine Interaction Domain 2	APBB2:PID 2	Q92870	323	APBB2	Human
x0so1047	seq.12763.69	Zinc finger protein 334	ZN334	Q9HCZ1	55713	ZNF334	Human
x0so1048	seq.12764.3	Engulfment and cell motility protein 1	ELMO1	Q92556	9844	ELMO1	Human
x0so1049	seq.12766.33	Probable G-protein coupled receptor 142	GP142	Q7Z601	350383	GPR142	Human
x0so1050	seq.12768.3	Protein phosphatase 1 regulatory subunit 3B	PPR3B	Q86XI6	79660	PPP1R3B	Human
x0so1051	seq.12771.19	Zinc finger protein 180	ZN180	Q9UJW8	7733	ZNF180	Human
x0so1052	seq.12772.8	Nuclear pore complex protein Nup98-Nup96	NUP98	P52948	4928	NUP98	Human
x0so1053	seq.12774.12	Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 1	HCN1	O60741	348980	HCN1	Human
x0so1054	seq.12775.6	High mobility group protein B3	HMGB3	O15347	3149	HMGB3	Human
x0so1055	seq.12777.11	Splicing factor 1	SF01	Q15637	7536	SF1	Human
x0so1056	seq.12779.30	PR domain zinc finger protein 4	PRDM4	Q9UKN5	11108	PRDM4	Human
x0so1057	seq.12781.2	RISC-loading complex subunit TARBP2	TRBP2	Q15633	6895	TARBP2	Human
x0so1058	seq.12783.29	Heterogeneous nuclear ribonucleoprotein M	HNRPM	P52272	4670	HNRNPM	Human
x0so1059	seq.12784.10	Amyloid beta A4 precursor protein-binding family B member 3:Phosphotyrosine Interaction Domain 1,Isoform II	APBB3:PID 1	O95704	10307	APBB3	Human
x0so1060	seq.12785.49	Transcriptional regulator Kaiso	KAISO	Q86T24	10009	ZBTB33	Human
x0so1061	seq.12786.61	Glycerophosphocholine phosphodiesterase GPCPD1	GDE5	Q9NPB8	56261	GPCPD1	Human
x0so1062	seq.12787.47	Zinc finger protein 134	ZN134	P52741	7693	ZNF134	Human
x0so1063	seq.12788.6	SAGA-associated factor 29 homolog	SGF29	Q96ES7	112869	SGF29	Human
x0so1064	seq.12790.10	Coiled-coil domain-containing protein 51	CCD51	Q96ER9	79714	CCDC51	Human
x0so1065	seq.12793.4	Piwi-like protein 1	PIWL1	Q96J94	9271	PIWIL1	Human
x0so1066	seq.12794.6	NACHT, LRR and PYD domains-containing protein 4	NALP4	Q96MN2	147945	NLRP4	Human
x0so1067	seq.12795.2	Zinc finger protein 566	ZN566	Q969W8	84924	ZNF566	Human
x0so1068	seq.12796.44	Diphosphoinositol polyphosphate phosphohydrolase 1	NUDT3	O95989	11165	NUDT3	Human
x0so1069	seq.12798.46	Electroneutral sodium bicarbonate exchanger 1	S4A8	Q2Y0W8	9498	SLC4A8	Human
x0so1070	seq.12799.65	DnaJ homolog subfamily C member 27	DJC27	Q9NZQ0	51277	DNAJC27	Human
x0so1071	seq.12800.5	Tubulin polymerization-promoting protein family member 2	TPPP2	P59282	122664	TPPP2	Human
x0so1072	seq.12801.33	Interferon regulatory factor 2	IRF2	P14316	3660	IRF2	Human
x0so1073	seq.12803.9	Zinc finger protein 329	ZN329	Q86UD4	79673	ZNF329	Human
x0so1074	seq.12804.5	Glucocorticoid modulatory element-binding protein 2	GMEB2	Q9UKD1	26205	GMEB2	Human
x0so1075	seq.12807.89	Rho GTPase-activating protein 30	RHG30	Q7Z6I6	257106	ARHGAP30	Human
x0so1076	seq.12808.103	Calcium-regulated heat-stable protein 1	CHSP1	Q9Y2V2	23589	CARHSP1	Human
x0so1077	seq.12811.55	Zinc finger protein 415	ZN415	Q09FC8	55786	ZNF415	Human
x0so1078	seq.12812.25	Acylphosphatase-2	ACYP2	P14621	98	ACYP2	Human
x0so1079	seq.12813.18	EH domain-binding protein 1	EHBP1	Q8NDI1	23301	EHBP1	Human
x0so1080	seq.12814.17	RNA-binding protein 40	RBM40	Q96LT9	55599	RNPC3	Human
x0so1081	seq.12815.9	Isoleucine--tRNA ligase, cytoplasmic	SYIC	P41252	3376	IARS1	Human
x0so1082	seq.12817.1	GTP-binding protein GEM	GEM	P55040	2669	GEM	Human
x0so1083	seq.12818.159	Urea transporter 2	UT2	Q15849	8170	SLC14A2	Human
