symbol	CHROM	start_grch37	end_grch37	label	unit	type	min	max	missing	description	long_description	AptName	SeqId	SeqIdVersion	SomaId	TargetFullName	Target	UniProt	EntrezGeneID	Organism	Units	Type	Dilution	ColCheck	cv_qc	cv_qc_chris	Dratio	eLOD	EntrezGeneSymbol
1996	EMILIN3	20	39988606	39995467	x0so7624	NA	float	51.7	91854.6	-89	seq.9991.112	EMILIN-3:region 2	seq.9991.112	9991-112	3	SL025845	EMILIN-3:region 2	EMIL3:region 2	Q9NT22	90187	Human	RFU	Protein	20	PASS	0.0482459264224955	0.0507998187474293	0.0702790871789813	119.0171	NA
1997	EML2	19	46110252	46148887	x0so4663	NA	float	224.6	42911.7	-89	seq.25907.47	Echinoderm microtubule-associated protein-like 2	seq.25907.47	25907-47	3	SL013004	Echinoderm microtubule-associated protein-like 2	EMAL2	O95834	24139	Human	RFU	Protein	20	PASS	0.0272551679737765	0.0287052885852906	0.134619999235227	504.0705	NA
1998	ENAH	1	225674537	225840844	x0so7479	NA	float	273.8	74522.7	-89	seq.9757.29	Protein enabled homolog	seq.9757.29	9757-29	3	SL019147	Protein enabled homolog	ENAH	Q8N8S7	55740	Human	RFU	Protein	20	PASS	0.060487389032566	0.0655374695129557	0.106705403306857	583.4639	NA
1999	ENDOU	12	48103517	48119350	x0so5822	NA	float	83.9	22332.8	-89	seq.5656.53	Poly(U)-specific endoribonuclease	seq.5656.53	5656-53	3	SL012424	Poly(U)-specific endoribonuclease	PP11	P21128	8909	Human	RFU	Protein	20	PASS	0.0350204862189552	0.0443468385648556	0.16545996597024	182.7887	NA
2000	ENG	9	130577291	130617035	x0so5517	NA	float	33.8	35749.3	-89	seq.4908.6	Endoglin	seq.4908.6	4908-6	1	SL004482	Endoglin	Endoglin	P17813	2022	Human	RFU	Protein	20	PASS	0.053958996653244	0.0567738259689111	0.280857606431935	75.39875	NA
2001	ENGASE	17	77071021	77084681	x0so2033	NA	float	68.1	25063.7	-89	seq.16781.2	Cytosolic endo-beta-N-acetylglucosaminidase	seq.16781.2	16781-2	3	SL012928	Cytosolic endo-beta-N-acetylglucosaminidase	ENASE	Q8NFI3	64772	Human	RFU	Protein	20	PASS	0.033088837678158	0.0316558944571495	0.121502279775099	143.65295	NA
2002	ENO1	1	8921061	8939308	x0so0385	NA	float	60.1	180441.8	-89	seq.11105.171	Alpha-enolase	seq.11105.171	11105-171	3	SL003650	Alpha-enolase	Alpha enolase	P06733	2023	Human	RFU	Protein	0.5	FLAG	0.104176043505174	0.116942854482025	0.258958645107941	173.0756	NA
2003	ENO2	12	7022909	7032861	x0so0088	NA	float	118.1	22971.4	-89	seq.10339.48	Gamma-enolase	seq.10339.48	10339-48	3	SL001731	Gamma-enolase	NSE	P09104	2026	Human	RFU	Protein	20	PASS	0.0592919477085324	0.0669748051806179	0.237212664870044	269.01785	NA
2004	ENO2	12	7022909	7032861	x0so0376	NA	float	39.7	48865.3	-89	seq.11083.23	Gamma-enolase	seq.11083.23	11083-23	3	SL001731	Gamma-enolase	NSE	P09104	2026	Human	RFU	Protein	20	PASS	0.0848347012293341	0.0796628126416599	0.274666410723478	92.0889	NA
2005	ENO3	17	4851387	4860426	x0so2011	NA	float	112.7	89211.5	-89	seq.16616.137	Beta-enolase	seq.16616.137	16616-137	3	SL007119	Beta-enolase	ENOB	P13929	2027	Human	RFU	Protein	20	FLAG	0.0863677218142298	0.10286228816878	0.17351297954764	269.9558	NA
2006	ENOX1	13	43787654	44361044	x0so1144	NA	float	17.8	13609.8	-89	seq.12933.17	Ecto-NOX disulfide-thiol exchanger 1	seq.12933.17	12933-17	3	SL019362	Ecto-NOX disulfide-thiol exchanger 1	ENOX1	Q8TC92	55068	Human	RFU	Protein	20	FLAG	0.21524608412395	0.267173538890071	0.768216778315931	94.38555	NA
2007	ENOX2	X	129757350	130037208	x0so1263	NA	float	132.9	24174.1	-89	seq.13422.66	Ecto-NOX disulfide-thiol exchanger 2	seq.13422.66	13422-66	3	SL012509	Ecto-NOX disulfide-thiol exchanger 2	ENOX2	Q16206	10495	Human	RFU	Protein	20	PASS	0.0408250297809731	0.048113430710647	0.189702965268866	369.17835	NA
2008	ENPEP	4	111286889	111486441	x0so1888	NA	float	94.2	85725.8	-89	seq.15558.63	Glutamyl aminopeptidase	seq.15558.63	15558-63	3	SL008525	Glutamyl aminopeptidase	AMPE	Q07075	2028	Human	RFU	Protein	20	FLAG	0.268211902663852	0.29204160233759	0.306162047561417	279.00025	NA
2009	ENPP2	8	120569326	120685693	x0so2072	NA	float	70	20531.6	-89	seq.16892.23	Ectonucleotide pyrophosphatase/phosphodiesterase family member 2	seq.16892.23	16892-23	3	SL008778	Ectonucleotide pyrophosphatase/phosphodiesterase family member 2	ENPP2	Q13822	5168	Human	RFU	Protein	0.005	FLAG	0.19908888150552	0.0841273976390705	0.244467797036078	349.99565	NA
2010	ENPP3	6	131949582	132068553	x0so4550	NA	float	108.7	8010.7	-89	seq.25251.6	Ectonucleotide pyrophosphatase/phosphodiesterase family member 3	seq.25251.6	25251-6	3	SL018016	Ectonucleotide pyrophosphatase/phosphodiesterase family member 3	ENPP3	O14638	5169	Human	RFU	Protein	20	FLAG	0.185037949438987	0.228957738359954	0.816604950968869	451.0355	NA
2011	ENPP5	6	46126924	46138708	x0so6184	NA	float	53.5	4629.1	-89	seq.6556.5	Ectonucleotide pyrophosphatase/phosphodiesterase family member 5	seq.6556.5	6556-5	3	SL012863	Ectonucleotide pyrophosphatase/phosphodiesterase family member 5	ENPP5	Q9UJA9	59084	Human	RFU	Protein	0.5	PASS	0.0269972432990081	0.0281682745595981	0.099650275664926	99.5172	NA
2012	ENPP6	4	185009859	185142383	x0so1900	NA	float	92.8	71873.5	-89	seq.15579.26	Ectonucleotide pyrophosphatase/phosphodiesterase family member 6	seq.15579.26	15579-26	3	SL008780	Ectonucleotide pyrophosphatase/phosphodiesterase family member 6	ENPP6	Q6UWR7	133121	Human	RFU	Protein	20	PASS	0.0403497916360561	0.0465046025240333	0.184973574498241	207.5321	NA
2013	ENPP7	17	77704681	77716021	x0so5389	NA	float	39.9	26690.4	-89	seq.4435.66	Ectonucleotide pyrophosphatase/phosphodiesterase family member 7	seq.4435.66	4435-66	2	SL009045	Ectonucleotide pyrophosphatase/phosphodiesterase family member 7	ENPP7	Q6UWV6	339221	Human	RFU	Protein	20	PASS	0.0531394443667107	0.0557957986034891	0.0948598630223883	76.71615	NA
2014	ENSA	1	150573327	150602088	x0so2237	NA	float	187.3	66547.4	-89	seq.17734.13	Alpha-endosulfine	seq.17734.13	17734-13	3	SL010230	Alpha-endosulfine	a-endosulfine	O43768	2029	Human	RFU	Protein	20	PASS	0.0434736447312466	0.0468761098972769	0.0804975463763971	424.5337	NA
2015	ENTPD1	10	97471536	97637023	x0so4961	NA	float	105.5	45811.3	-89	seq.3182.38	Ectonucleoside triphosphate diphosphohydrolase 1	seq.3182.38	3182-38	2	SL010371	Ectonucleoside triphosphate diphosphohydrolase 1	CD39	P49961	953	Human	RFU	Protein	20	FLAG	0.0978651239947097	0.13512452343173	0.577356810530338	415.9705	NA
2016	ENTPD1	10	97471536	97637023	x0so6654	NA	float	60.2	41579	-89	seq.7999.23	Ectonucleoside triphosphate diphosphohydrolase 1	seq.7999.23	7999-23	3	SL010371	Ectonucleoside triphosphate diphosphohydrolase 1	CD39	P49961	953	Human	RFU	Protein	20	PASS	0.0412565499756773	0.0437980302603142	0.166366340893197	122.82255	NA
2017	ENTPD2	9	139942550	139948497	x0so2534	NA	float	71.6	118002.2	-89	seq.18887.7	Ectonucleoside triphosphate diphosphohydrolase 2	seq.18887.7	18887-7	3	SL015373	Ectonucleoside triphosphate diphosphohydrolase 2	ENTP2	Q9Y5L3	954	Human	RFU	Protein	20	PASS	0.0322665484099239	0.0287835025804618	0.0607612200040473	186.4082	NA
2018	ENTPD3	3	40428647	40470110	x0so5390	NA	float	280.1	9904.8	-89	seq.4436.1	Ectonucleoside triphosphate diphosphohydrolase 3	seq.4436.1	4436-1	2	SL014093	Ectonucleoside triphosphate diphosphohydrolase 3	ENTP3	O75355	956	Human	RFU	Protein	20	FLAG	0.16128046625406	0.217162344153164	0.617323227221363	908.5953	NA
2019	ENTPD5	14	74424713	74486102	x0so5391	NA	float	86	10562.3	-89	seq.4437.56	Ectonucleoside triphosphate diphosphohydrolase 5	seq.4437.56	4437-56	3	SL014028	Ectonucleoside triphosphate diphosphohydrolase 5	ENTP5	O75356	957	Human	RFU	Protein	0.5	PASS	0.0364784288465408	0.0514732002192732	0.198111783994424	156.22905	NA
2020	ENTPD6	20	25176329	25207365	x0so7070	NA	float	74.5	9633.6	-89	seq.8932.1	Ectonucleoside triphosphate diphosphohydrolase 6	seq.8932.1	8932-1	3	SL014128	Ectonucleoside triphosphate diphosphohydrolase 6	ENTP6	O75354	955	Human	RFU	Protein	0.5	PASS	0.0537025629891086	0.0458362924789709	0.159571766149337	161.78335	NA
2021	EPB41	1	29213603	29446553	x0so5473	NA	float	146.7	48308.5	-89	seq.4706.17	Protein 4.1	seq.4706.17	4706-17	2	SL010830	Protein 4.1	41	P11171	2035	Human	RFU	Protein	0.5	PASS	0.051927555379994	0.0681219858047166	0.152443107273961	373.52415	NA
2022	EPB41L1	20	34679426	34820721	x0so1533	NA	float	175.7	106799.6	-89	seq.13993.20	Band 4.1-like protein 1	seq.13993.20	13993-20	3	SL020300	Band 4.1-like protein 1	E41L1	Q9H4G0	2036	Human	RFU	Protein	20	PASS	0.058691099584402	0.0877694673867898	0.18139915119815	449.0662	NA
2023	EPDR1	7	37723446	37991543	x0so7147	NA	float	224.2	14597	-89	seq.9040.144	Mammalian ependymin-related protein 1	seq.9040.144	9040-144	3	SL008893	Mammalian ependymin-related protein 1	EPDR1	Q9UM22	54749	Human	RFU	Protein	20	PASS	0.0549800766596741	0.0595725579957117	0.295804790475918	508.4944	NA
2024	EPHA1	7	143087382	143105985	x0so5089	NA	float	236.8	35553.9	-89	seq.3431.54	Ephrin type-A receptor 1	seq.3431.54	3431-54	2	SL004137	Ephrin type-A receptor 1	EphA1	P21709	2041	Human	RFU	Protein	20	PASS	0.0539821115235993	0.0778030653570439	0.238004825340082	641.1852	NA
2025	EPHA10	1	38179552	38230805	x0so5608	NA	float	28.3	6253.7	-89	seq.5076.53	Ephrin type-A receptor 10	seq.5076.53	5076-53	2	SL014294	Ephrin type-A receptor 10	EPHAA	Q5JZY3	284656	Human	RFU	Protein	20	FLAG	0.064519064311609	0.0643696164397501	0.278226750219538	81.42045	NA
2026	EPHA10	1	38179552	38230805	x0so5957	NA	float	51.5	96178.6	-89	seq.6036.78	Ephrin type-A receptor 10	seq.6036.78	6036-78	3	SL014294	Ephrin type-A receptor 10	EPHAA	Q5JZY3	284656	Human	RFU	Protein	20	PASS	0.0413241215434771	0.0358931456133957	0.115919678439038	125.3671	NA
2027	EPHA2	1	16450832	16482582	x0so5494	NA	float	42.2	13650	-89	seq.4834.61	Ephrin type-A receptor 2	seq.4834.61	4834-61	2	SL002654	Ephrin type-A receptor 2	Epithelial cell kinase	P29317	1969	Human	RFU	Protein	20	PASS	0.0636582432483877	0.069205621369323	0.331906302207538	85.48785	NA
2028	EPHA3	3	89156674	89531284	x0so5090	NA	float	53	42430.2	-89	seq.3432.21	Ephrin type-A receptor 3	seq.3432.21	3432-21	2	SL010498	Ephrin type-A receptor 3	EPHA3	P29320	2042	Human	RFU	Protein	20	PASS	0.050237497092988	0.0505213586872209	0.181714070220579	102.76175	NA
2029	EPHA4	2	222282747	222438922	x0so1966	NA	float	81.2	31329.1	-89	seq.16288.17	Ephrin type-A receptor 4	seq.16288.17	16288-17	3	SL013797	Ephrin type-A receptor 4	EPHA4	P54764	2043	Human	RFU	Protein	0.5	PASS	0.0327545807094131	0.032003413123547	0.194213887778432	158.11815	NA
2030	EPHA4	2	222282747	222438922	x0so6402	NA	float	223.4	35272.4	-89	seq.7190.50	Ephrin type-A receptor 4	seq.7190.50	7190-50	3	SL013797	Ephrin type-A receptor 4	EPHA4	P54764	2043	Human	RFU	Protein	20	PASS	0.0513544263909692	0.0560884957043301	0.300990976823213	687.57085	NA
2031	EPHA5	4	66185281	66536213	x0so5225	NA	float	103.1	12894	-89	seq.3806.55	Ephrin type-A receptor 5	seq.3806.55	3806-55	1	SL004844	Ephrin type-A receptor 5	EphA5	P54756	2044	Human	RFU	Protein	20	PASS	0.0490875662797955	0.0510828029448789	0.228216195936346	223.8408	NA
2032	EPHA6	3	96533425	97471304	x0so3738	NA	float	71.6	34523.1	-89	seq.22587.37	Ephrin type-A receptor 6	seq.22587.37	22587-37	3	SL022633	Ephrin type-A receptor 6	EPHA6	Q9UF33	285220	Human	RFU	Protein	20	PASS	0.0528628234433035	0.0478939428372118	0.171695847269267	189.6473	NA
2033	EPHA7	6	93949738	94129265	x0so1901	NA	float	180.5	42939.2	-89	seq.15580.2	Ephrin type-A receptor 7	seq.15580.2	15580-2	3	SL008537	Ephrin type-A receptor 7	EPHA7	Q15375	2045	Human	RFU	Protein	20	PASS	0.0343878943273378	0.0235367836717183	0.0978025307405597	376.6122	NA
2034	EPHA7	6	93949738	94129265	x0so6407	NA	float	177.5	21576.6	-89	seq.7195.119	Ephrin type-A receptor 7	seq.7195.119	7195-119	3	SL008537	Ephrin type-A receptor 7	EPHA7	Q15375	2045	Human	RFU	Protein	20	PASS	0.0259495971131601	0.0297450556854722	0.230731586855484	349.0297	NA
2035	EPHA8	1	22890057	22930087	x0so3011	NA	float	61.5	94983.4	-89	seq.20558.4	Ephrin type-A receptor 8	seq.20558.4	20558-4	3	SL013763	Ephrin type-A receptor 8	EPHA8	P29322	2046	Human	RFU	Protein	20	PASS	0.0421754808809635	0.0354399385914121	0.0857069411867498	180.9104	NA
2036	EPHB1	3	134316643	134979309	x0so2209	NA	float	34.2	57666.7	-89	seq.17680.12	Ephrin type-B receptor 1	seq.17680.12	17680-12	3	SL016438	Ephrin type-B receptor 1	EPHB1	P54762	2047	Human	RFU	Protein	20	PASS	0.0338763974412356	0.0357560578680239	0.118275707248016	81.29005	NA
2037	EPHB2	1	23037332	23241818	x0so6741	NA	float	98.9	21534	-89	seq.8225.86	Ephrin type-B receptor 2	seq.8225.86	8225-86	3	SL007179	Ephrin type-B receptor 2	EPHB2	P29323	2048	Human	RFU	Protein	0.5	PASS	0.0354845008637188	0.0403990231192148	0.225073416629161	194.97025	NA
2038	EPHB2	1	23037332	23241818	x0so6822	NA	float	93.9	20397.8	-89	seq.8348.4	Ephrin type-B receptor 2	seq.8348.4	8348-4	3	SL007179	Ephrin type-B receptor 2	EPHB2	P29323	2048	Human	RFU	Protein	20	PASS	0.0494350918290207	0.0507894445249868	0.232342621060256	197.05285	NA
2039	EPHB3	3	184279572	184300197	x0so7241	NA	float	95.6	84068.7	-89	seq.9220.7	Ephrin type-B receptor 3	seq.9220.7	9220-7	3	SL008895	Ephrin type-B receptor 3	EPHB3	P54753	2049	Human	RFU	Protein	20	PASS	0.029533507073196	0.0268883610935418	0.059838805401623	208.68975	NA
2040	EPHB4	7	100400187	100425121	x0so1876	NA	float	122.6	22817.3	-89	seq.15530.33	Ephrin type-B receptor 4	seq.15530.33	15530-33	3	SL004845	Ephrin type-B receptor 4	EphB4	P54760	2050	Human	RFU	Protein	20	PASS	0.0428054011729113	0.0509099385197108	0.230915868879798	282.71125	NA
2041	EPHB6	7	142552792	142568847	x0so5609	NA	float	53.7	8296.7	-89	seq.5078.82	Ephrin type-B receptor 6	seq.5078.82	5078-82	3	SL008414	Ephrin type-B receptor 6	EphB6	O15197	2051	Human	RFU	Protein	0.5	PASS	0.0299799345520459	0.0279344532070079	0.171445169046235	110.0063	NA
2042	EPHB6	7	142552792	142568847	x0so7271	NA	float	23.1	46016.4	-89	seq.9261.14	Ephrin type-B receptor 6	seq.9261.14	9261-14	3	SL008414	Ephrin type-B receptor 6	EphB6	O15197	2051	Human	RFU	Protein	20	PASS	0.0435013237169452	0.0433207101367996	0.181907256139935	90.8389	NA
2043	EPHX2	8	27348296	27403081	x0so3199	NA	float	36.6	5295	-89	seq.21269.198	Epoxide hydrolase 2	seq.21269.198	21269-198	3	SL007200	Epoxide hydrolase 2	HYES	P34913	2053	Human	RFU	Protein	20	PASS	0.0574309811487565	0.0766314902090805	0.384968895786394	99.97255	NA
2044	EPN1	19	56186592	56221224	x0so4205	NA	float	93.7	30317.4	-89	seq.24255.38	Epsin-1	seq.24255.38	24255-38	3	SL023198	Epsin-1	EPN1	Q9Y6I3	29924	Human	RFU	Protein	20	PASS	0.0438741417670248	0.047960754256656	0.117751190525243	210.27885	NA
2045	EPO	7	100318423	100321323	x0so5910	NA	float	171	29632.4	-89	seq.5813.58	Erythropoietin	seq.5813.58	5813-58	3	SL000408	Erythropoietin	Epo	P01588	2056	Human	RFU	Protein	20	PASS	0.0444266129255436	0.0606326964432336	0.190739699708356	410.0425	NA
2046	EPOR	19	11488236	11495018	x0so2785	NA	float	108.7	8829.7	-89	seq.19575.4	Erythropoietin receptor	seq.19575.4	19575-4	3	SL005159	Erythropoietin receptor	EPO-R	P19235	2057	Human	RFU	Protein	20	PASS	0.0340685666436301	0.0355563592236107	0.185804295604967	216.8517	NA
2047	EPOR	19	11488236	11495018	x0so4747	NA	float	65.4	9689.5	-89	seq.2715.25	Erythropoietin receptor	seq.2715.25	2715-25	2	SL005159	Erythropoietin receptor	EPO-R	P19235	2057	Human	RFU	Protein	20	PASS	0.0317922357640783	0.0360835142068098	0.18737297554436	136.6584	NA
2048	EPS15L1	19	16466050	16582896	x0so5329	NA	float	96.1	5955.2	-89	seq.4212.5	Epidermal growth factor receptor substrate 15-like 1	seq.4212.5	4212-5	3	SL012188	Epidermal growth factor receptor substrate 15-like 1	EP15R	Q9UBC2	58513	Human	RFU	Protein	20	PASS	0.0589795506368535	0.070115758159007	0.209357658486284	186.06595	NA
2049	EPS8L1	19	55583388	55599291	x0so4391	NA	float	63	14345.7	-89	seq.24899.13	Epidermal growth factor receptor kinase substrate 8-like protein 1	seq.24899.13	24899-13	3	SL013218	Epidermal growth factor receptor kinase substrate 8-like protein 1	ES8L1	Q8TE68	54869	Human	RFU	Protein	20	FLAG	0.0693625821431723	0.0617668315272472	0.190763066528264	136.58555	NA
2050	EPS8L2	11	694438	727727	x0so4386	NA	float	51.8	10593.8	-89	seq.24891.54	Epidermal growth factor receptor kinase substrate 8-like protein 2	seq.24891.54	24891-54	3	SL009030	Epidermal growth factor receptor kinase substrate 8-like protein 2	ES8L2	Q9H6S3	64787	Human	RFU	Protein	20	PASS	0.0311999260011894	0.033481033682471	0.16440349160615	164.68325	NA
2051	EPS8L3	1	110292702	110306649	x0so4414	NA	float	103.7	18073.1	-89	seq.24931.9	Epidermal growth factor receptor kinase substrate 8-like protein 3	seq.24931.9	24931-9	3	SL006672	Epidermal growth factor receptor kinase substrate 8-like protein 3	ES8L3	Q8TE67	79574	Human	RFU	Protein	20	PASS	0.0369154795935161	0.041486683761515	0.137955681454668	221.2408	NA
2052	EQTN	9	27284656	27297137	x0so0422	NA	float	35.6	94224.4	-89	seq.11162.37	Equatorin	seq.11162.37	11162-37	3	SL019313	Equatorin	EQTN	Q9NQ60	54586	Human	RFU	Protein	20	PASS	0.0607542611102301	0.0611080122719775	0.11179255832004	88.78565	NA
2053	ERAP1	5	96096521	96143803	x0so5542	NA	float	27.9	14107.6	-89	seq.4964.67	Endoplasmic reticulum aminopeptidase 1	seq.4964.67	4964-67	1	SL007729	Endoplasmic reticulum aminopeptidase 1	ARTS1	Q9NZ08	51752	Human	RFU	Protein	0.5	PASS	0.0363286181526688	0.0352424529171233	0.0572011050177867	71.25525	NA
2054	ERAP2	5	96211643	96255420	x0so7091	NA	float	26.2	5960.5	-89	seq.8960.3	Endoplasmic reticulum aminopeptidase 2	seq.8960.3	8960-3	3	SL010614	Endoplasmic reticulum aminopeptidase 2	LRAP	Q6P179	64167	Human	RFU	Protein	0.5	PASS	0.0454524119858639	0.056048608853777	0.136165571257315	73.65745	NA
2055	ERBB2	17	37844167	37886679	x0so4698	NA	float	79.8	25180.6	-89	seq.2616.23	Receptor tyrosine-protein kinase erbB-2	seq.2616.23	2616-23	18	SL000009	Receptor tyrosine-protein kinase erbB-2	ERBB2	P04626	2064	Human	RFU	Protein	20	PASS	0.0467784846799639	0.0408849635261119	0.139080911564037	170.517	NA
2056	ERBB3	12	56473641	56497289	x0so4699	NA	float	43.8	30536	-89	seq.2617.56	Receptor tyrosine-protein kinase erbB-3	seq.2617.56	2617-56	35	SL002519	Receptor tyrosine-protein kinase erbB-3	ERBB3	P21860	2065	Human	RFU	Protein	20	PASS	0.0543871817814207	0.0531852831314123	0.312720116637355	119.1388	NA
2057	ERBB4	2	212240446	213403565	x0so4700	NA	float	49.8	2824.7	-89	seq.2618.10	Receptor tyrosine-protein kinase erbB-4	seq.2618.10	2618-10	2	SL003803	Receptor tyrosine-protein kinase erbB-4	ERBB4	Q15303	2066	Human	RFU	Protein	20	PASS	0.0560129717337423	0.0667354636877737	0.337048333489261	109.5954	NA
2058	ERC1	12	1099675	1605099	x0so4450	NA	float	106	10380.5	-89	seq.24983.119	ELKS/RAB6-interacting/CAST family member 1	seq.24983.119	24983-119	3	SL006623	ELKS/RAB6-interacting/CAST family member 1	RB6I2	Q8IUD2	23085	Human	RFU	Protein	20	PASS	0.043760160449688	0.0521691812250852	0.0805883348391634	268.51775	NA
2059	ERCC1	19	45910591	45982086	x0so0921	NA	float	42	23556.7	-89	seq.12585.39	DNA excision repair protein ERCC-1	seq.12585.39	12585-39	3	SL009589	DNA excision repair protein ERCC-1	ERCC1	P07992	2067	Human	RFU	Protein	20	FLAG	0.0632092312428319	0.0428917357119832	0.138397167833417	113.80735	NA
2060	ERCC4	16	14014014	14046202	x0so7567	NA	float	159.8	91312.8	-89	seq.9895.77	DNA repair endonuclease XPF	seq.9895.77	9895-77	3	SL013851	DNA repair endonuclease XPF	XPF	Q92889	2072	Human	RFU	Protein	20	PASS	0.0386678689353705	0.0343475718522502	0.0895613976577453	344.0405	NA
2061	EREG	4	75230860	75254468	x0so5536	NA	float	198.1	93592.9	-89	seq.4956.2	Epiregulin	seq.4956.2	4956-2	1	SL000139	Epiregulin	EPI	O14944	2069	Human	RFU	Protein	20	PASS	0.047138338362962	0.0403905667638923	0.106153025791611	478.17815	NA
2062	ERGIC1	5	172261278	172379688	x0so3985	NA	float	486.1	13709	-89	seq.23372.112	Endoplasmic reticulum-Golgi intermediate compartment protein 1	seq.23372.112	23372-112	3	SL007591	Endoplasmic reticulum-Golgi intermediate compartment protein 1	ERGI1	Q969X5	57222	Human	RFU	Protein	0.5	FLAG	0.125663401100657	0.143163009681275	0.561599011166247	3937.99225	NA
2063	ERH	14	69846848	69865344	x0so0658	NA	float	168.9	184025.1	-89	seq.11614.29	Enhancer of rudimentary homolog	seq.11614.29	11614-29	3	SL013071	Enhancer of rudimentary homolog	ERH	P84090	2079	Human	RFU	Protein	20	PASS	0.063301230386648	0.0441361664861021	0.141448919375287	384.19145	NA
2064	ERLEC1	2	54014181	54045956	x0so7088	NA	float	220.2	43238.6	-89	seq.8957.72	Endoplasmic reticulum lectin 1	seq.8957.72	8957-72	3	SL012771	Endoplasmic reticulum lectin 1	XTP3B	Q96DZ1	27248	Human	RFU	Protein	20	PASS	0.0387243343291538	0.035300572482688	0.179116491356664	561.6986	NA
2065	ERLIN1	10	101909851	101948091	x0so6971	NA	float	215.9	88769.7	-89	seq.8776.10	Erlin-1	seq.8776.10	8776-10	3	SL018683	Erlin-1	ERLN1	O75477	10613	Human	RFU	Protein	20	FLAG	0.0716068181575255	0.095956527606538	0.489598954726691	592.28855	NA
2066	ERMAP	1	43282795	43310660	x0so6926	NA	float	164.9	75990.3	-89	seq.8631.13	Erythroid membrane-associated protein	seq.8631.13	8631-13	3	SL009002	Erythroid membrane-associated protein	ERMAP	Q96PL5	114625	Human	RFU	Protein	20	PASS	0.0404322219630997	0.0379805851507007	0.0988297993076573	444.7379	NA
2067	ERMN	2	158175137	158184225	x0so4026	NA	float	33.4	67899.3	-89	seq.23425.19	Ermin	seq.23425.19	23425-19	3	SL023195	Ermin	ERMIN	Q8TAM6	57471	Human	RFU	Protein	20	PASS	0.0301414585663636	0.0340968832946508	0.119431373820435	156.62025	NA
2068	ERN1	17	62116502	62208179	x0so0466	NA	float	119.8	67349.8	-89	seq.11229.16	Serine/threonine-protein kinase/endoribonuclease IRE1	seq.11229.16	11229-16	3	SL007036	Serine/threonine-protein kinase/endoribonuclease IRE1	ERN1	O75460	2081	Human	RFU	Protein	20	PASS	0.0390793231116614	0.0239623564990519	0.0672546476702887	271.11345	NA
2069	ERP27	12	15066969	15092016	x0so7314	NA	float	74.7	12094.8	-89	seq.9333.59	Endoplasmic reticulum resident protein 27	seq.9333.59	9333-59	3	SL017394	Endoplasmic reticulum resident protein 27	ERP27	Q96DN0	121506	Human	RFU	Protein	20	PASS	0.025335473154055	0.031145343299995	0.0912554055029514	158.404	NA
2070	ERP29	12	112451120	112461255	x0so1469	NA	float	141.9	22898	-89	seq.13728.19	Endoplasmic reticulum resident protein 29	seq.13728.19	13728-19	3	SL003522	Endoplasmic reticulum resident protein 29	ERP29	P30040	10961	Human	RFU	Protein	0.5	PASS	0.0392362428189019	0.0333953960029308	0.0574089045489778	278.0277	NA
2071	ERP29	12	112451120	112461255	x0so5555	NA	float	49.7	81124.3	-89	seq.4983.6	Endoplasmic reticulum resident protein 29	seq.4983.6	4983-6	1	SL003522	Endoplasmic reticulum resident protein 29	ERP29	P30040	10961	Human	RFU	Protein	0.5	PASS	0.0717641909883214	0.0841466887912938	0.43115981983223	109.08345	NA
2072	ERP44	9	102741461	102861322	x0so5966	NA	float	170.7	120999	-89	seq.6064.4	Endoplasmic reticulum resident protein 44	seq.6064.4	6064-4	3	SL005292	Endoplasmic reticulum resident protein 44	TXNDC4	Q9BS26	23071	Human	RFU	Protein	0.5	FLAG	0.157451497719823	0.143080206249787	0.341511383179617	1039.9115	NA
2073	ERVV-1	19	53517174	53519375	x0so0885	NA	float	101	208959.9	-89	seq.12531.5	Endogenous retrovirus group V member 1 Env polyprotein	seq.12531.5	12531-5	3	SL019768	Endogenous retrovirus group V member 1 Env polyprotein	ERVV1	B6SEH8		Human	RFU	Protein	20	FLAG	0.0723772326358354	0.0837225677122381	0.219051675993827	306.1753	NA
2074	ESAM	11	124622026	124632186	x0so2994	NA	float	22.9	11425.8	-89	seq.20536.11	Endothelial cell-selective adhesion molecule	seq.20536.11	20536-11	3	SL005160	Endothelial cell-selective adhesion molecule	ESAM	Q96AP7	90952	Human	RFU	Protein	0.5	PASS	0.0588752401001542	0.060326156972187	0.285590866336438	55.72705	NA
2075	ESAM	11	124622026	124632186	x0so4875	NA	float	38.4	9379.4	-89	seq.2981.9	Endothelial cell-selective adhesion molecule	seq.2981.9	2981-9	3	SL005160	Endothelial cell-selective adhesion molecule	ESAM	Q96AP7	90952	Human	RFU	Protein	0.5	PASS	0.0349616728947326	0.0412435371026139	0.22939473628854	80.26615	NA
2076	ESAM	11	124622026	124632186	x0so6549	NA	float	201.1	38113.1	-89	seq.7841.84	Endothelial cell-selective adhesion molecule	seq.7841.84	7841-84	3	SL005160	Endothelial cell-selective adhesion molecule	ESAM	Q96AP7	90952	Human	RFU	Protein	20	PASS	0.0553660964068642	0.0605039009614836	0.30874890032853	435.4751	NA
2077	ESD	13	47345391	47371367	x0so5556	NA	float	96	6998.9	-89	seq.4984.83	S-formylglutathione hydrolase	seq.4984.83	4984-83	1	SL006378	S-formylglutathione hydrolase	Esterase D	P10768	2098	Human	RFU	Protein	0.5	PASS	0.0832762894801634	0.0638326215346296	0.154587007393236	208.1996	NA
